Model,City,Year,Mileage,FuelType,Transmission,Color,Assembly,EngineCapacity,Price
Swift DLX Automatic 1.3,Islamabad,2019,1 - 165000,Petrol,Automatic,Silky Silver,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Karachi,2014,1 - 165000,Petrol,Automatic,Sand Beige,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Karachi,2015,1 - 165000,Petrol,Automatic,Solid White,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Karachi,2016,1 - 165000,Petrol,Automatic,Solid White,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Karachi,2016,1 - 165000,Petrol,Automatic,Silky Silver,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Karachi,2016,1 - 165000,Petrol,Automatic,Solid White,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Karachi,2018,1 - 165000,Petrol,Automatic,Maroon,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Karachi,2018,1 - 165000,Petrol,Automatic,Pearl Red,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Karachi,2018,1 - 165000,Petrol,Automatic,Black,Local,1300,1850000 - 2689999
Swift DLX Automatic 1.3,Karachi,2019,1 - 165000,Petrol,Automatic,Solid White,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Karachi,2019,1 - 165000,Petrol,Automatic,Solid White,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Karachi,2019,1 - 165000,Petrol,Automatic,Graphite Grey,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Karachi,2019,1 - 165000,Petrol,Automatic,Solid White,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Karachi,2019,1 - 165000,Petrol,Automatic,Gold,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Karachi,2019,1 - 165000,Petrol,Automatic,Silky Silver,Local,1300,2690000 - 3529999
Swift DLX Automatic 1.3,Karachi,2020,1 - 165000,Petrol,Automatic,Solid White,Local,1300,2690000 - 3529999
